VariableStem	TopicID
benbase96	10908
bencb	10908
benctc	10908
bendis1	10908
bendis10	10908
bendis11	10908
bendis12	10908
bendis13	10908
bendis14	10908
bendis15	10908
bendis16	10908
bendis2	10908
bendis3	10908
bendis4	10908
bendis5	10908
bendis6	10908
bendis7	10908
bendis8	10908
bendis9	10908
bendis96	10908
bendis97	10908
benefit_tm	115
benesa	10908
benfam1	10908
benfam10	10908
benfam2	10908
benfam3	10908
benfam4	10908
benfam5	10908
benfam6	10908
benfam7	10908
benfam8	10908
benfam9	10908
benfam96	10908
benhou1	10908
benhou2	10908
benhou3	10908
benhou4	10908
benhou5	10908
benhou6	10908
benhou7	10908
benhou8	10908
benhou9	10908
benhou96	10908
benlink	115
benpen1	10907
benpen10	10907
benpen11	10907
benpen12	10907
benpen13	10907
benpen2	10907
benpen3	10907
benpen4	10907
benpen5	10907
benpen6	10907
benpen7	10907
benpen8	10907
benpen9	10907
benpen96	10907
bensta1	10908
bensta10	10908
bensta11	10908
bensta12	10908
bensta13	10908
bensta2	10908
bensta3	10908
bensta4	10908
bensta5	10908
bensta8	10908
bensta9	10908
bensta96	10908
bensta97	10908
bentax1	10908
bentax10	10908
bentax2	10908
bentax3	10908
bentax4	10908
bentax5	10908
bentax6	10908
bentax7	10908
bentax8	10908
bentax9	10908
bentax96	10908
benunemp1	10908
benunemp2	10908
benunemp3	10908
benunemp4	10908
benunemp5	10908
benunemp6	10908
benunemp7	10908
benunemp96	10908
big5a_dv	10402
big5dv	10402
big5e_dv	10402
big5n_dv	10402
big5o_dv	10402
birthm	10107
bmi_dv	10320
bornuk	10101
breakfst	10601
brfdlwe	111
brfdlwe2	111
brfedstill	111
btype1	10908
btype10	10908
btype11	10908
btype12	10908
btype13	10908
btype14	10908
btype2	10908
btype3	10908
btype4	10908
btype5	10908
btype6	10908
btype7	10908
btype8	10908
btype9	10908
btype96	10908
c1	115
c2	115
c2b	115
c3a11	115
c3a12	115
c3a13	115
c3a14	115
c3a15	115
c3a16	115
c3a17	115
c3a18	115
c3a19	115
c3a20	115
c3a21	115
c3a22	115
c3a23	115
c3a24	115
c3a25	115
c3a26	115
c3a27	115
c3a28	115
c3a29	115
c3a30	115
c3a31	115
c3a32	115
c3a33	115
c3a34	115
c3a35	115
c3a36	115
c3a37	115
c3a38	115
c3a39	115
c3a40	115
c3b	115
c3c	115
c3d	115
c3e13	115
c3e14	115
c3e15	115
c3e16	115
c3e17	115
c3e18	115
c3e19	115
c3e20	115
c3e21	115
c3e22	115
c3e23	115
c3e24	115
c3e25	115
c3e26	115
c3e27	115
c3e28	115
c3e29	115
c3e30	115
c3e31	115
c3e32	115
c3e33	115
c3e34	115
c3e35	115
c3e36	115
c3e37	115
c3e38	115
c3e39	115
c3e40	115
c_length	115
c_status	115
cageif	10107
caidu1	10708
caidu2	10708
caidu3	10708
caidu4	10708
caidu5	10708
caidu6	10708
caidu7	10708
caidu8	10708
caidu96	10708
caidu97	10708
callbackd	115
callbackm	115
callbacky	115
callenddatd	115
callenddathh	115
callenddatm	115
callenddatmm	115
callenddatss	115
callenddaty	115
callno	115
callstrtdatd	115
callstrtdathh	115
callstrtdatm	115
callstrtdatmm	115
callstrtdatss	115
callstrtdaty	115
carage1	10203
carage10	10203
carage2	10203
carage3	10203
carage4	10203
carage5	10203
carage6	10203
carage7	10203
carage8	10203
carage9	10203
carbuy1	10203
carbuy10	10203
carbuy11	10203
carbuy12	10203
carbuy2	10203
carbuy3	10203
carbuy4	10203
carbuy5	10203
carbuy6	10203
carbuy7	10203
carbuy8	10203
carbuy9	10203
carbuy97	10203
carclub	10203
carfuel1	10203
carfuel10	10203
carfuel2	10203
carfuel3	10203
carfuel4	10203
carfuel5	10203
carfuel6	10203
carfuel7	10203
carfuel8	10203
carfuel9	10203
caring_tm	115
carmiles	10203
carn2h1	10203
carn2h10	10203
carn2h2	10203
carn2h3	10203
carn2h4	10203
carn2h5	10203
carn2h6	10203
carn2h7	10203
carn2h8	10203
carn2h9	10203
carnum1	10203
carnum2	10203
carnum3	10203
carnum4	10203
carnum5	10203
carown	102
carshare	10203
carsrv1	10203
carsrv2	10203
carsrv3	10203
caruse	10203
carvan	10203
carvanb	115
casch	10812
casiend	115
casiintno	115
catihholdreiss	115
catunout	115
ccamtjt	10904
ccamtsole	10904
ccare	10706
ccbilljt	10904
ccbillsole	10904
ccjt	10904
ccjtp0	10904
ccjtp1	10904
ccjtp10	10904
ccjtp11	10904
ccjtp12	10904
ccjtp13	10904
ccjtp14	10904
ccjtp15	10904
ccjtp16	10904
ccjtp2	10904
ccjtp3	10904
ccjtp4	10904
ccjtp5	10904
ccjtp6	10904
ccjtp7	10904
ccjtp8	10904
ccjtp9	10904
ccsole	10904
ccwork	10706
cd3pera	10706
cd3perb	10706
cd3perc	10706
cd3perd	10706
cd3pere	10706
cd3perf	10706
cd3perg	10706
cdcomp	10706
cdcond	10706
cdconsol	10706
cdconstm	10706
cdcread	10706
cddis	10323
cdepdo1	107
cderead	10706
cdlmt	10323
cdobm	10107
cdoby	10107
cdoread	10706
cdpchrs	10711
cdphsc	10403
cdphscy1	10403
cdphscy2	10403
cdphscy3	10403
cdphscy4	10403
cdphscy5	10403
cdphscy6	10403
cdphscy7	10403
cdtv	10906
cdtvvidhrs	10701
cdtvvidhrw	10701
cduse1	10906
cduse10	10906
cduse11	10906
cduse12	10906
cduse13	10906
cduse2	10906
cduse3	10906
cduse4	10906
cduse5	10906
cduse6	10906
cduse7	10906
cduse8	10906
cduse9	10906
cduse96	10906
cdvla	111
cdvlb	111
cdvlc	111
cdvld	111
cdvle	111
cdvlf	111
cdvlg	111
cdvlh	111
cdvli	111
cdvlj	111
cdvlk	111
cdvll	111
cdvlm	111
cdvln	111
cdvlo	111
cdvlp	111
cdvlq	111
cdvlr	111
cdvls	111
cdvlt	111
cdwread1	10706
cdwread2	10706
cdwread3	10706
cdwread4	10706
cdwread5	10706
cgivna1_dv	10809
cgivns1_dv	10809
cgivs71_dv	10809
cgivvf1_dv	10809
cgivwrd1_dv	10809
cgivwri1_dv	10809
cgna_dv	10809
cgns1a_dv	10809
cgns1b_dv	10809
cgns1sc10_dv	10809
cgns1sc6_dv	10809
cgns2a_dv	10809
cgns2b_dv	10809
cgns2sc10_dv	10809
cgns2sc6_dv	10809
cgs7ca_dv	10809
cgs7cs_dv	10809
cgs7n_dv	10809
cgsrmem2_dv	10809
cgsrmem_dv	10809
cgvfdv	10809
cgvfw_dv	10809
cgwrd_dv	10809
cgwri1_dv	10809
cgwri2_dv	10809
cgwri3_dv	10809
cgwri4_dv	10809
cgwri_dv	10809
ch1bm	10107
ch1by4	10107
chaid1	10708
chaid2	10708
chaid3	10708
chaid4	10708
chaid5	10708
chaid6	10708
chaid7	10708
chaid8	10708
chaid96	10708
chaid97	10708
chbrfed01	11101
chbrfed02	11101
chbrfed03	11101
chbrfed04	11101
chbrfed05	11101
chbrfed06	11101
chbrfed07	11101
chbrfed08	11101
chbrfed09	11101
chbrfed10	11101
chbrfed11	11101
chbrfed12	11101
chbrfed13	11101
chbrfed14	11101
chbrfed15	11101
chbrfed16	11101
chcon	107
chdelay	111
chedlink	108
chfar	107
chfllink	115
chhlthlink	115
chhol01	11103
chhol02	11103
chhol03	11103
chhol04	11103
chhol05	11103
chhol06	11103
chhol07	11103
chhol08	11103
chhol09	11103
chhol10	11103
chhol11	11103
chhol12	11103
chhol13	11103
chhol14	11103
chhol15	11103
chhol16	11103
child	10201
childb	115
childcare_tm	115
childno	115
childpno	115
chkcoa	115
chkdob	115
chkresp	115
chkresp1	115
chkresp2	115
chkresp3	115
chkresp4	115
chkrespweb	115
chkrespweb1	115
chkrespweb2	115
chkrespweb3	115
chkrespweb4	115
chksex	115
chkwebdobd	10107
chkwebdobm	10107
chkwebdoby	10107
chkwebsex	10102
chpat	111
chrisk	111
chsdqa	10402
chsdqb	10402
chsdqc	10402
chsdqcp_dv	10402
chsdqd	10402
chsdqe	10402
chsdqes_dv	10402
chsdqf	10402
chsdqg	10402
chsdqh	10402
chsdqha_dv	10402
chsdqi	10402
chsdqj	10402
chsdqk	10402
chsdql	10402
chsdqm	10402
chsdqn	10402
chsdqo	10402
chsdqp	10402
chsdqpp_dv	10402
chsdqps_dv	10402
chsdqq	10402
chsdqr	10402
chsdqs	10402
chsdqt	10402
chsdqtd_dv	10402
chsdqtdv	10402
chsdqu	10402
chsdqv	10402
chsdqw	10402
chsdqx	10402
chsdqy	10402
chsee	107
chterm01	11103
chterm02	11103
chterm03	11103
chterm04	11103
chterm05	11103
chterm06	11103
chterm07	11103
chterm08	11103
chterm09	11103
chterm10	11103
chterm11	11103
chterm12	11103
chterm13	11103
chterm14	11103
chterm15	11103
chterm16	11103
cindtime	115
citzn1	101
citzn2	101
citzn2_code	10103
citzn3	101
citzn_code	101
citznwhen	10103
citznyear	10103
cjbatt	10901
cjob	10901
clangab	10810
closenum	10705
club	106
cmcokidno1	10707
cmcokidno10	10707
cmcokidno11	10707
cmcokidno12	10707
cmcokidno13	10707
cmcokidno14	10707
cmcokidno15	10707
cmcokidno16	10707
cmcokidno2	10707
cmcokidno3	10707
cmcokidno4	10707
cmcokidno5	10707
cmcokidno6	10707
cmcokidno7	10707
cmcokidno8	10707
cmcokidno9	10707
cmcord	10904
cmcordall	10904
cmcordam	10904
cmcordper	10904
cmcordrcam	10904
cmcordrcpr	10904
cmcordrec	10904
cmcordtm	10904
cmcsaact	10904
cmcsaall	10904
cmcsaam	10904
cmcsanil1	10904
cmcsanil2	10904
cmcsanil3	10904
cmcsanil4	10904
cmcsanil5	10904
cmcsanil6	10707
cmcsanil7	10707
cmcsanil8	10707
cmcsanil9	10707
cmcsanil97	10904
cmcsaper	10904
cmcsapr	10904
cmfbaop	10706
cmflag01	108
cmflag02	108
cmflag03	108
cmflag04	108
cmflag05	108
cmflag06	108
cmflag07	108
cmflag08	108
cmflag09	108
cmflag10	108
cmflag11	108
cmflag12	108
cmflag13	108
cmflag14	108
cmflag15	108
cmflag16	108
cmkndevr1	10704
cmkndevr2	10704
cmkndevr3	10704
cmkndevr4	10704
cmkndevr96	10704
cmkndevr97	10704
cmlstat1	10703
cmlstat2	10703
cmlstat3	10703
cmlstat4	10703
cmlstat5	10703
cmnil1	10904
cmnil10	10707
cmnil11	10904
cmnil12	10904
cmnil2	10904
cmnil3	10904
cmnil4	10904
cmnil5	10904
cmnil6	10904
cmnil7	10904
cmnil8	10904
cmnil9	10904
cmnil97	10904
cmothpay1	10904
cmothpay10	10904
cmothpay11	10904
cmothpay2	10904
cmothpay3	10904
cmothpay4	10904
cmothpay5	10904
cmothpay6	10904
cmothpay7	10904
cmothpay8	10904
cmothpay9	10904
cmothpay96	10904
cmothpay97	10904
cmroute	115
cmroute01	108
cmroute02	108
cmroute03	108
cmroute04	108
cmroute05	108
cmroute06	108
cmroute07	108
cmroute08	108
cmroute09	108
cmroute10	108
cmroute11	108
cmroute12	108
cmroute13	108
cmroute14	108
cmroute15	108
cmroute16	108
cmsamea	10904
cmsameb	10904
cmsamec	10904
cmservice1	10708
cmservice10	10708
cmservice11	10708
cmservice12	10708
cmservice13	10708
cmservice14	10708
cmservice15	10708
cmservice16	10708
cmservice17	10708
cmservice18	10708
cmservice19	10708
cmservice2	10708
cmservice20	10708
cmservice21	10708
cmservice3	10708
cmservice4	10708
cmservice5	10708
cmservice6	10708
cmservice7	10708
cmservice8	10708
cmservice9	10708
cmservice97	10708
cmsvccon	10708
cmsvcoth_code	10708
cmsvcuse	10708
cmvol	10904
cmvolall	10904
cmvolam	10904
cmvolfin	10706
cmvolkidno1	10707
cmvolkidno10	10707
cmvolkidno11	10707
cmvolkidno12	10707
cmvolkidno13	10707
cmvolkidno14	10707
cmvolkidno15	10707
cmvolkidno16	10707
cmvolkidno2	10707
cmvolkidno3	10707
cmvolkidno4	10707
cmvolkidno5	10707
cmvolkidno6	10707
cmvolkidno7	10707
cmvolkidno8	10707
cmvolkidno9	10707
cmvolper	10904
cmvolrcam	10904
cmvolrcpr	10904
cmvolrec	10904
cmvoltm	10904
cntry10	10106
cntry91	10106
cntry99	10106
cntryqual	10801
cogdist	10810
cogend	10810
cohab	107
cohab_dv	10702
cohabn	107
cohabno	115
cohadv	10702
colbens1	11002
colbens2	11002
colbens3	11002
colbens4	11002
combike	10203
combus	10203
comimmls11	10810
comimmls110	10810
comimmls12	10810
comimmls13	10810
comimmls14	10810
comimmls15	10810
comimmls16	10810
comimmls17	10810
comimmls18	10810
comimmls19	10810
comimmls196	10810
comimmls21	10810
comimmls210	10810
comimmls22	10810
comimmls23	10810
comimmls24	10810
comimmls25	10810
comimmls26	10810
comimmls27	10810
comimmls28	10810
comimmls29	10810
comimmls296	10810
comimmls31	10810
comimmls310	10810
comimmls32	10810
comimmls33	10810
comimmls34	10810
comimmls35	10810
comimmls36	10810
comimmls37	10810
comimmls38	10810
comimmls39	10810
comimmls396	10810
comimmls41	10810
comimmls410	10810
comimmls42	10810
comimmls43	10810
comimmls44	10810
comimmls45	10810
comimmls46	10810
comimmls47	10810
comimmls48	10810
comimmls49	10810
comimmls496	10810
commetro	10203
comother	10203
comtaxi	10203
comtrain	10203
comwact31	10709
comwact32	10709
comwact33	10709
comwact34	10709
comwact35	10709
comwact36	10709
comwact37	10709
comwact38	10709
comwact396	10709
comwact398	10709
comwalk	10203
comwpas31	10709
comwpas32	10709
comwpas33	10709
comwpas34	10709
comwpas35	10709
comwpas396	10706
comwpas398	10709
conadd1	115
consent_tm	115
contft	108
coopnxtyr	115
cordet1	115
cordet10	115
cordet11	115
cordet12	115
cordet13	115
cordet14	115
cordet15	115
cordet16	115
cordet17	115
cordet18	115
cordet19	115
cordet2	115
cordet20	115
cordet21	115
cordet22	115
cordet23	115
cordet24	115
cordet25	115
cordet26	115
cordet27	115
cordet28	115
cordet29	115
cordet3	115
cordet30	115
cordet31	115
cordet32	115
cordet4	115
cordet5	115
cordet6	115
cordet7	115
cordet8	115
cordet9	115
cordet96	115
cordrecper	10904
coreswho1	10702
coreswho10	10702
coreswho11	10702
coreswho12	10702
coreswho13	10702
coreswho14	10702
coreswho15	10702
coreswho16	10702
coreswho2	10702
coreswho3	10702
coreswho4	10702
coreswho5	10702
coreswho6	10702
coreswho7	10702
coreswho8	10702
coreswho9	10702
coreswho96	10702
cplmp	11103
cplmp01	10704
cplmp02	10704
cplmp03	10704
cplmp04	10704
cplmp05	10704
cplmp06	10704
cplmp07	10704
cplmp08	10704
cplmp09	10704
cplmp10	10704
cplmp11	10704
cplmp12	10704
cplmp13	10704
cplmp14	10704
cplmp15	10704
cplmp16	10704
crburg	10202
crcar	10202
crdark	10202
crdrnk	10202
credamt	10904
creditor	10904
credjt	10904
credsole	10904
crgraf	10202
crmugg	10202
crrace	10202
crrubsh	10202
crteen	10202
crvand	10202
crwora	10202
crworb	10202
csacalc	10904
csacalcam	10904
csakidno1	10707
csakidno10	10707
csakidno11	10707
csakidno12	10707
csakidno13	10707
csakidno14	10707
csakidno15	10707
csakidno16	10707
csakidno2	10707
csakidno3	10707
csakidno4	10707
csakidno5	10707
csakidno6	10707
csakidno7	10707
csakidno8	10707
csakidno9	10707
csapayto	10904
csarecper	10904
cseehol	11103
cseeterm	11103
csex	10102
cstat	109
cstayhol	11103
cstayholw	11103
cstayterm	11103
cstaytermw	11103
ctadd1_code	115
ctadd2_code	115
ctband_dv	10201
ctband_if	10201
ctbandv	10201
ctbanif	10201
ctcnty_code	115
ctcons	115
ctconsconf1	115
ctconsconf2	115
ctconsconf3	115
ctconsconf4	115
ctconsconf5	115
ctconsconf6	115
ctconsconf7	115
ctconsconf8	115
ctconsconf94	115
ctconsconf95	115
ctemail_code	115
ctitle	115
ctpcodcode	115
ctpcode_code	115
ctrel	115
cttel1_code	115
cttel2_code	115
cttown_code	115
cuddlekid	11103
curradd10	10106
curradd91	10106
curradd99	10106
currjob1	10901
currjob10	10901
currjob2	10901
currjob3	10901
currjob4	10901
currjob5	10901
currjob6	10901
currjob7	10901
currjob8	10901
currjob9	10901
currmstat	10703
currpart6	10702
currpart7	10702
currstat1	10901
currstat10	10901
currstat2	10901
currstat3	10901
currstat4	10901
currstat5	10901
currstat6	10901
currstat7	10901
currstat8	10901
currstat9	10901
currynot1	10904
currynot2	10904
currynot3	10904
currynot4	10904
currynot5	10904
currynot6	10904
currynot7	10904
currynot8	10904
currynot96	10904
currynot97	10904
curstat	115
d2	10702
d31	10104
d32	10104
d33	10104
d34	10104
d35	10104
d36	10104
d37	10104
d38	10104
d39	10104
d396	10104
d510	10103
d511	10103
d512	10103
d513	10103
d514	10103
d515	10103
d516	10103
d517	10103
d518	10103
d519	10103
d520	10103
d521	10103
d522	10103
d523	10103
d524	10103
d525	10103
d526	10103
d527	10103
d528	10103
d529	10103
d530	10103
d531	10103
d532	10103
d533	10103
d596	10103
d6	10103
d71	10103
d710	10103
d711	10103
d712	10103
d713	10103
d714	10103
d72	10103
d73	10103
d74	10103
d75	10103
d76	10103
d77	10103
d78	10103
d79	10103
d795	115
d796	10103
dateapptd	115
dateapptm	115
dateappty	115
dayrec	115
daywlk	106
dcdobm	10107
dcdoby	10107
dcsatm	10904
dcsex	10102
debt1	10904
debt4	10904
debt5	10904
debt6	10904
debt7	10904
debt8	10904
debt96	10904
debt97	10904
debtc1	10904
debtc2	10904
debtc3	10904
debtc4	10904
debtc5	10904
debtinfo1	10904
debtinfo10	10904
debtinfo11	10904
debtinfo2	10904
debtinfo3	10904
debtinfo4	10904
debtinfo5	10904
debtinfo6	10904
debtinfo7	10904
debtinfo8	10904
debtinfo9	10904
debtinfo97	10904
debtoth1	10904
debtoth2	10904
debtoth3	10904
debtoth4	10904
debtoth96	10904
debtpn0	10904
debtpn1	10904
debtpn10	10904
debtpn11	10904
debtpn12	10904
debtpn13	10904
debtpn14	10904
debtpn15	10904
debtpn16	10904
debtpn2	10904
debtpn3	10904
debtpn4	10904
debtpn5	10904
debtpn6	10904
debtpn7	10904
debtpn8	10904
debtpn9	10904
debtsj	10904
debtsk	10904
debtwho1	10904
debtwho2	10904
debtwho3	10904
debtwho4	10904
debtwho97	10904
debty	10904
delayls11	10810
delayls110	10810
delayls12	10810
delayls13	10810
delayls14	10810
delayls15	10810
delayls16	10810
delayls17	10810
delayls18	10810
delayls19	10810
delayls196	10810
delayls21	10810
delayls210	10810
delayls22	10810
delayls23	10810
delayls24	10810
delayls25	10810
delayls26	10810
delayls27	10810
delayls28	10810
delayls29	10810
delayls296	10810
delayls31	10810
delayls310	10810
delayls32	10810
delayls33	10810
delayls34	10810
delayls35	10810
delayls36	10810
delayls37	10810
delayls38	10810
delayls39	10810
delayls396	10810
delayls41	10810
delayls410	10810
delayls42	10810
delayls43	10810
delayls44	10810
delayls45	10810
delayls46	10810
delayls47	10810
delayls48	10810
delayls49	10810
delayls496	10810
delaystop1	10810
delaystop2	10810
delaystop3	10810
delaystop4	10810
delaystop5	10810
delaystop6	10810
delaystop7	10810
delaystop8	10810
delaystop97	10810
demog_tm	115
depchl_dv	10702
detinc1	115
detinc2	115
detinc3	115
detinc4	115
detinc5	115
detinc6	115
dinner	11103
discrimination_tm	115
disdif1	10323
disdif10	10323
disdif11	10323
disdif12	10323
disdif2	10323
disdif3	10323
disdif4	10323
disdif5	10323
disdif6	10323
disdif7	10323
disdif9	10323
disdif96	10323
diseffects1	10901
diseffects2	10901
diseffects3	10901
diseffects4	10901
diseffects5	10901
dissev1	103
dissev10	103
dissev11	103
dissev12	103
dissev2	103
dissev3	103
dissev4	103
dissev5	103
dissev6	103
dissev7	103
dissev8	104
dissev9	103
distmov_dv	10205
divchk1	10703
divchk2	10703
divchk3	10703
divchk4	10703
divchk5	10703
divfin1	10703
divfin2	10703
divfin3	10703
divfin4	10703
divfin5	10703
dklm	10605
dmemcont11	10810
dmemcont12	10810
dmemcont13	10810
dmemcont21	10810
dmemcont210	10810
dmemcont211	10810
dmemcont212	10810
dmemcont213	10810
dmemcont214	10810
dmemcont215	10810
dmemcont216	10810
dmemcont22	10810
dmemcont23	10810
dmemcont24	10810
dmemcont25	10810
dmemcont26	10810
dmemcont27	10810
dmemcont28	10810
dmemcont29	10810
dmemcont3	10810
dmpenflag	10907
dobm_dv	10107
doby_dv	10107
doneproxy	115
dormant	115
dpfreqa	10708
dpfreqb	10708
dppaya	10708
dppayb	10708
drgmj	10606
drgoth	10606
drgsol	10606
drive	10203
drnk4w	10605
duelpay	10201
duno	10201
dvage	10107
dvage_orig	10107
dvm1	10703
dvm2	10703
dvm3	10703
dvm4	10703
dvm5	10703
dvy41	10703
dvy42	10703
dvy43	10703
dvy44	10703
dvy45	10703
dwell	115
dwellno	10201
dweltyp	10201
dwltype	10201
eatlivu	10701
ecigs	10604
edasp	10813
edlink	115
edlinkb	115
edlinkconf	115
edlinkconfb	115
edlinkkide	115
edlinkkidswn	115
edtype	108
educisgn	115
educisgn_tns	115
educlinkb1	115
educlinkb2	115
educlinkb3	115
educrecd	115
educrecd_tns	115
educrsgn	115
educrsgn_tns	115
educsn	115
eed12	10901
elecpay	10201
elwstat	115
empchk	109
employ	10901
employment_tm	115
empstat_tm	115
empstendd	10901
empstendm	10901
empstendy4	10901
endday	115
enddisp	115
endmin	115
endmnth1	11402
endmnth2	11402
endmnth3	11402
endmnth5	11402
endmth	115
endyr	115
engform	10104
englang	10104
engread	10104
engspk	10104
engtel	10104
enguk	10104
ensize1	10203
ensize2	10203
ensize3	10203
ensize4	10203
ensize5	10203
ensze1	10203
ensze10	10203
ensze2	10203
ensze3	10203
ensze4	10203
ensze5	10203
ensze6	10203
ensze7	10203
ensze8	10203
ensze9	10203
envhabit1	11001
envhabit10	11001
envhabit11	11001
envhabit2	11001
envhabit3	11001
envhabit4	11001
envhabit5	11001
envhabit6	11001
envhabit7	11001
envhabit8	11001
envhabit9	11001
environ_tm	115
enwstat	115
eprosh	109
etariff	10201
ethclose1	10103
ethclose10	10103
ethclose11	10103
ethclose2a	10103
ethclose2b	10103
ethclose3	10103
ethclose4a	10103
ethclose4b	10103
ethclose5	10103
ethclose6	10103
ethclose7	10103
ethclose8	10103
ethclose9	10103
ethid10	10103
ethid11	10103
ethid12	10103
ethid13	10103
ethid14	10103
ethid2	10103
ethid3	10103
ethid4a	10103
ethid4b	10103
ethid5	10103
ethid7	10103
ethid8	10103
ethid9	10103
ethn_dv	10103
ethnic1	10103
ethnic10	10103
ethnic11	10103
ethnic12	10103
ethnic13	10103
ethnic14	10103
ethnic2	10103
ethnic3	10103
ethnic4	10103
ethnic5	10103
ethnic6	10103
ethnic7	10103
ethnic8	10103
ethnic9	10103
ethnic96	10103
ethnic_tm	115
eumem	11002
event1	112
event1s	112
event2	112
event2s	112
event3	112
event3s	112
event4	112
event4s	112
everint	115
evralc	10605
evrsmo	10604
exjob	10901
expmanage1	10904
expmanage10	10904
expmanage11	10904
expmanage2	10904
