VariableStem	TopicID
a2	115
a31	115
a32	115
a33	115
a34	115
a35	115
a36	115
a4	115
absadd	115
abseduc	115
absflag	115
absparnam	115
absparno	115
abspris	115
absreason	115
acc1to161	10602
acc1to1610	10602
acc1to1611	10602
acc1to1612	10602
acc1to1613	10602
acc1to1614	10602
acc1to162	10602
acc1to163	10602
acc1to164	10602
acc1to165	10602
acc1to166	10602
acc1to167	10602
acc1to168	10602
acc1to169	10602
acc1to1697	10602
access	10602
adcts	115
addalloc	115
addfound	115
addpaya	10708
addpayb	10708
addrchck	115
address	115
addresscheck2	115
addrmov_dv	10205
addstatus	115
adla	103
adlad	103
adlb	103
adlbd	103
adlc	103
adlcd	103
adld	103
adldd	103
adle	103
adled	103
adlf	103
adlfd	103
adlg	103
adlgd	103
adlh	103
adlhd	103
adli	103
adlid	103
adlj	103
adljd	103
adlk	103
adlkd	103
adll	103
adlld	103
adlm	103
adlmd	103
adln	103
adlnd	103
adoptch01	10702
adoptch02	10702
adoptch03	10702
adoptch04	10702
adoptch05	10702
adoptch06	10702
adoptch07	10702
adoptch08	10702
adoptch09	10702
adoptch10	10702
adoptch11	10702
adoptch12	10702
adoptch13	10702
adoptch14	10702
adoptch15	10702
adoptch16	10702
adoptno	115
adresp15	10702
adresp17	10702
adstatus	115
advvoucher	115
aedrof1	114
aedrof2	114
aedrof3	114
aedrof4	114
aedrof5	114
aepuda1	114
aepuda2	114
aepuda3	114
aepuda4	114
aepuda5	114
aepuwk1	114
aepuwk2	114
aepuwk3	114
aepuwk4	114
aepuwk5	114
agdv	10107
age2uk	10205
age_dv	10107
agechy_dv	10107
ageest	10107
agegr10_dv	10107
agegr13_dv	10107
agegr5_dv	10107
ageif	10107
ageret	11201
aglquit	10604
ahvwell	10813
aideft	10708
aidhrs	10708
aidhu1	10708
aidhu2	10708
aidhua1	10708
aidhua10	10708
aidhua11	10708
aidhua12	10708
aidhua13	10708
aidhua14	10708
aidhua15	10708
aidhua16	10708
aidhua2	10708
aidhua3	10708
aidhua4	10708
aidhua5	10708
aidhua6	10708
aidhua7	10708
aidhua8	10708
aidhua9	10708
aidxhh	10708
aintlen	115
allch01	10702
allch02	10702
allch03	10702
allch04	10702
allch05	10702
allch06	10702
allch07	10702
allch08	10702
allch09	10702
allch10	10702
allch11	10702
allch12	10702
allch13	10702
allch14	10702
allch15	10702
allch16	10702
allcosta	10708
allcostb	10708
alllang1	10104
alllang10	10104
alllang11	10104
alllang12	10104
alllang13	10104
alllang14	10104
alllang15	10104
alllang16	10104
alllang17	10104
alllang18	10104
alllang19	10104
alllang2	10104
alllang20	10104
alllang3	10104
alllang4	10104
alllang5	10104
alllang6	10104
alllang7	10104
alllang8	10104
alllang9	10104
alllang97	10104
allocmnth	115
altcar1	10203
altcar10	10203
altcar11	10203
altcar12	10203
altcar2	10203
altcar3	10203
altcar4	10203
altcar5	10203
altcar6	10203
altcar7	10203
altcar8	10203
altcar9	10203
altcar96	10203
altcar97	10203
alwstat	115
anwstat	115
anyeng	115
anypaya	10708
anypayb	10708
aorigadd	115
apid	115
apidp	115
apno	115
apvocimp	108
arcfreq	10709
arftype	115
argf	10704
argm	10704
arts1a1	10709
arts1a2	10709
arts1a3	10709
arts1a4	10709
arts1a5	10709
arts1a6	10709
arts1a7	10709
arts1a96	10709
arts1b10	10709
arts1b11	10709
arts1b12	10709
arts1b13	10709
arts1b14	10709
arts1b15	10709
arts1b9	10709
arts1b96	10709
arts1freq	10709
arts2a1	10709
arts2a2	10709
arts2a3	10709
arts2a4	10709
arts2a5	10709
arts2a6	10709
arts2a7	10709
arts2a96	10709
arts2b10	10709
arts2b11	10709
arts2b12	10709
arts2b13	10709
arts2b14	10709
arts2b15	10709
arts2b9	10709
arts2b96	10709
arts2freq	10709
asex	10102
attacked1	10608
attacked10	10608
attacked11	10608
attacked2	10608
attacked3	10608
attacked4	10608
attacked5	10608
attacked6	10608
attacked7	10608
attacked8	10608
attacked9	10608
attacked96	10608
attacked97	10608
attacked_dv	10608
attackedo_code	10608
attackedw11	10608
attackedw12	10608
attackedw13	10608
attackedw14	10608
attackedw15	10608
attackedw16	10608
attackedw17	10608
attackedw196	10608
attackedw197	10608
auditc1	10605
auditc2	10605
auditc3	10605
auditc4	10605
auditc5	10605
avoidance1	10608
avoidance10	10608
avoidance11	10608
avoidance2	10608
avoidance3	10608
avoidance4	10608
avoidance5	10608
avoidance6	10608
avoidance7	10608
avoidance8	10608
avoidance9	10608
avoidance96	10608
avoidance97	10608
avoidanceo_code	10608
avoidancew11	10608
avoidancew12	10608
avoidancew13	10608
avoidancew14	10608
avoidancew15	10202
avoidancew16	10608
avoidancew17	10608
avoidancew196	10608
avoidancew197	10608
avoided_dv	10608
basnsa	10903
basnset	10903
basrate	10903
basrest	10903
bedreg	10706
bedsits	10201
benbase2	10908
benbase3	10908
benbase4	10908
